FechaMensual,CodigoEstacion,Valor
2014-08-01,52050110,16.2
2014-09-01,52050110,55.1
2014-10-01,52050110,106.6
2014-11-01,52050110,130.1
2014-12-01,52050110,161.6
2015-01-01,52050110,74.8
2015-02-01,52050110,41.3
2015-03-01,52050110,110.5
2015-04-01,52050110,92.0
2015-05-01,52050110,31.0
2015-06-01,52050110,35.8
2015-07-01,52050110,34.6
2015-08-01,52050110,23.7
2015-09-01,52050110,13.4
2015-10-01,52050110,64.7
2015-11-01,52050110,86.1
2015-12-01,52050110,12.8
2006-01-01,52055220,82.1
2006-02-01,52055220,82.2
2006-03-01,52055220,159.4
2006-04-01,52055220,170.7
2006-05-01,52055220,39.8
2006-06-01,52055220,123.7
2006-07-01,52055220,28.8
2006-08-01,52055220,11.9
2006-09-01,52055220,12.8
2006-10-01,52055220,77.4
2006-11-01,52055220,198.8
2006-12-01,52055220,164.6
2007-01-01,52055220,87.3
2007-02-01,52055220,8.7
2007-03-01,52055220,148.1
2007-04-01,52055220,152.6
2007-05-01,52055220,110.5
2007-06-01,52055220,74.8
2007-07-01,52055220,37.8
2007-08-01,52055220,26.8
2007-09-01,52055220,4.2
2007-10-01,52055220,163.2
2007-11-01,52055220,156.9
2007-12-01,52055220,132.1
2008-01-01,52055220,90.7
2008-02-01,52055220,142.1
2008-03-01,52055220,126.7
2008-04-01,52055220,207.0
2008-05-01,52055220,183.7
2008-06-01,52055220,95.3
2008-07-01,52055220,18.4
2008-08-01,52055220,51.8
2008-09-01,52055220,38.6
2008-10-01,52055220,154.9
2008-11-01,52055220,82.7
2008-12-01,52055220,107.8
2009-01-01,52055220,142.7
2009-02-01,52055220,107.2
2009-03-01,52055220,186.1
2009-04-01,52055220,155.3
2009-05-01,52055220,76.0
2009-06-01,52055220,102.1
2009-07-01,52055220,29.8
2009-08-01,52055220,7.9
2009-09-01,52055220,26.6
2009-10-01,52055220,79.7
2009-11-01,52055220,83.9
2009-12-01,52055220,127.1
2010-01-01,52055220,14.6
2010-02-01,52055220,59.9
2010-03-01,52055220,29.9
2010-04-01,52055220,216.4
2010-05-01,52055220,159.0
2010-06-01,52055220,48.5
2010-07-01,52055220,119.6
2010-08-01,52055220,31.5
2010-09-01,52055220,66.9
2010-10-01,52055220,105.5
2010-11-01,52055220,219.3
2010-12-01,52055220,112.2
2011-01-01,52055220,59.9
2011-02-01,52055220,90.0
2011-03-01,52055220,146.9
2011-04-01,52055220,202.7
2011-05-01,52055220,82.2
2011-06-01,52055220,38.6
2011-07-01,52055220,92.4
2011-08-01,52055220,29.4
2011-09-01,52055220,36.8
2011-10-01,52055220,141.1
2011-11-01,52055220,132.4
2011-12-01,52055220,157.1
2012-01-01,52055220,148.4
2012-02-01,52055220,85.5
2012-03-01,52055220,153.9
2012-04-01,52055220,124.1
2012-05-01,52055220,34.9
2012-06-01,52055220,21.3
2012-07-01,52055220,8.5
2012-08-01,52055220,11.6
2012-09-01,52055220,7.7
2012-12-01,52055220,57.7
2013-01-01,52055220,46.7
2013-02-01,52055220,128.8
2013-03-01,52055220,103.2
2013-04-01,52055220,99.4
2013-05-01,52055220,178.0
2013-06-01,52055220,11.0
2013-07-01,52055220,23.7
2013-08-01,52055220,41.5
2013-09-01,52055220,10.8
2013-10-01,52055220,107.3
2013-11-01,52055220,92.8
2013-12-01,52055220,72.8
2014-01-01,52055220,124.9
2014-02-01,52055220,28.8
2014-03-01,52055220,114.5
2014-04-01,52055220,89.5
2014-05-01,52055220,166.7
2014-06-01,52055220,79.1
2014-07-01,52055220,13.2
2014-08-01,52055220,16.1
2014-09-01,52055220,53.7
2014-10-01,52055220,91.7
2014-11-01,52055220,104.6
2014-12-01,52055220,117.4
2015-01-01,52055220,81.0
2015-02-01,52055220,40.9
2015-03-01,52055220,99.4
2015-04-01,52055220,114.8
2015-05-01,52055220,52.1
2015-06-01,52055220,21.2
2015-07-01,52055220,34.0
2015-08-01,52055220,3.9
2015-09-01,52055220,3.7
2015-10-01,52055220,110.9
2015-11-01,52055220,93.4
2015-12-01,52055220,9.1
2006-01-01,51020010,903.0
2006-02-01,51020010,876.0
2006-03-01,51020010,1067.0
2006-04-01,51020010,1006.0
2006-05-01,51020010,659.0
2006-06-01,51020010,712.0
2006-07-01,51020010,445.0
2006-08-01,51020010,566.0
2006-09-01,51020010,730.0
2006-10-01,51020010,734.0
2006-11-01,51020010,1397.0
